,Product Name,Product Image Link,Brand,Price,Url
544,Dark Wash Slim Fit Mens Jeans - Blue,,FCUK,Rs 1199,https://www.shoppersstop.com/fcuk-dark-wash-slim-fit-mens-jeans/p-205956790/colorChange/205956790_BLUE
545,Printed Cotton Slim Fit Mens Shirt - Pink,,MUFTI,Rs 1349,https://www.shoppersstop.com/mufti-printed-cotton-slim-fit-mens-shirt/p-S21MFS-11693PIN/colorChange/S21MFS-11693PIN_PINK
546,Solid Polyester Cotton Slim Fit Mens T-Shirt - Navy,,BEING HUMAN, Rs 1799,https://www.shoppersstop.com/being-human-solid-polyester-cotton-slim-fit-mens-t-shirt/p-A21BHTLS21532NA/colorChange/A21BHTLS21532NA_NAVY
547,Printed Cotton Regular Fit Mens Shorts - Blue,,LIFE,Rs 559,https://www.shoppersstop.com/life-printed-cotton-regular-fit-mens-shorts/p-S21183KSHORT324/colorChange/S21183KSHORT324_BLUE
548,Solid Cotton Regular Fit Mens T-Shirt - White,,ALTLIFE,Rs 419,https://www.shoppersstop.com/altlife-solid-cotton-regular-fit-mens-t-shirt/p-S21183RAGTE321W/colorChange/S21183RAGTE321W_WHITE
549,Solid Cotton Blend Slim Fit Mens Shirt - Black,,CALVIN KLEIN JEANS, Rs 4999,https://www.shoppersstop.com/calvin-klein-jeans-solid-cotton-blend-slim-fit-mens-shirt/p-A21J319744BEH/colorChange/A21J319744BEH_BLACK
550,Checks Cotton Regular Fit Mens Formal Shirt - Navy,https://sslimages.shoppersstop.com/sys-master/images/h0f/hca/16606293590046/S21LPSHFBM30912_NAVY.jpg_230Wx334H,LOUIS PHILIPPE,Rs 1799,https://www.shoppersstop.com/louis-philippe-checks-cotton-regular-fit-mens-formal-shirt/p-S21LPSHFBM30912/colorChange/S21LPSHFBM30912_NAVY
551,Regular Fit Mens T-Shirt - Orange,https://sslimages.shoppersstop.com/sys-master/images/h05/h9c/17093549817886/S21UDTSH0227_ORANGE.jpg_230Wx334H,U.S. POLO ASSN. DENIM,Rs 1329,https://www.shoppersstop.com/u-s-polo-assn-denim-regular-fit-mens-t-shirt/p-S21UDTSH0227/colorChange/S21UDTSH0227_ORANGE
552,Printed Cotton Stretch Slim Fit Mens Trousers - Navy,https://sslimages.shoppersstop.com/sys-master/images/h91/h61/16607520161822/S21123TR00686NA_NAVY.jpg_230Wx334H,INDIAN TERRAIN, Rs 2299,https://www.shoppersstop.com/indian-terrain-printed-cotton-stretch-slim-fit-mens-trousers/p-S21123TR00686NA/colorChange/S21123TR00686NA_NAVY
553,Solid Cotton Linen Slim Fit Mens Casual Shirt - Natural,https://sslimages.shoppersstop.com/sys-master/images/h05/h4d/16563361579038/S21183LIMAN16BG_BEIGE.jpg_230Wx334H,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-cotton-linen-slim-fit-mens-casual-shirt/p-S21183LIMAN16BG/colorChange/S21183LIMAN16BG_BEIGE
554,Solid Cotton Regular Fit Mens T-Shirt - Yellow,https://sslimages.shoppersstop.com/sys-master/images/h06/h6e/16399040282654/S21TSUSTSH0076_YELLOW.jpg_230Wx334H,U.S. POLO ASSN.,Rs 1329,https://www.shoppersstop.com/u-s-polo-assn--solid-cotton-regular-fit-mens-t-shirt/p-S21TSUSTSH0076/colorChange/S21TSUSTSH0076_YELLOW
555,Checks Polyester Viscose Super Slim Fit Mens Trousers - Navy,https://sslimages.shoppersstop.com/sys-master/images/hee/h07/17096389296158/S21VHFULFZ16382_NAVY.jpg_230Wx334H,VAN HEUSEN,Rs 2069,https://www.shoppersstop.com/van-heusen-checks-polyester-viscose-super-slim-fit-mens-trousers/p-S21VHFULFZ16382/colorChange/S21VHFULFZ16382_NAVY
556,Mens Round Neck Graphic Print T-Shirt - Indigo,https://sslimages.shoppersstop.com/sys-master/images/ha2/ha0/14567322517534/206557591_9328.jpg_230Wx334H,STOP,Rs 374,https://www.shoppersstop.com/stop-mens-round-neck-graphic-print-t-shirt/p-206557591/colorChange/206557591_INDIGO
557,Printed Cotton Regular Fit Mens Casual Shirt - Dark Green,https://sslimages.shoppersstop.com/sys-master/images/h4b/h2c/16997621071902/S21SFQSPPO01128_DARK_GREEN.jpg_230Wx334H,ALLEN SOLLY,Rs 1699,https://www.shoppersstop.com/allen-solly-printed-cotton-regular-fit-mens-casual-shirt/p-S21SFQSPPO01128/colorChange/S21SFQSPPO01128_DARK_GREEN
558,Cotton Blend Regular Fit Mens Trousers - Grey,https://sslimages.shoppersstop.com/sys-master/images/h89/h5c/17178848198686/A21TFQSRF938312_GREY.jpg_230Wx334H,ALLEN SOLLY,Rs 1529,https://www.shoppersstop.com/allen-solly-cotton-blend-regular-fit-mens-trousers/p-A21TFQSRF938312/colorChange/A21TFQSRF938312_GREY
559,Solid Cotton Lycra Slim Fit Mens Casual Shirt - Black,https://sslimages.shoppersstop.com/sys-master/images/he7/heb/17107498696734/21A5EW65QV58100_BLACK.jpg_230Wx334H,UNITED COLORS OF BENETTON, Rs 2499,https://www.shoppersstop.com/united-colors-of-benetton-solid-cotton-lycra-slim-fit-mens-casual-shirt/p-21A5EW65QV58100/colorChange/21A5EW65QV58100_BLACK
560,Checks Cotton Nylon Blend Tailored Fit Mens Casual Shirt - Red,https://sslimages.shoppersstop.com/sys-master/images/h8e/h0e/16732848357406/S21123SH02604RE_RED.jpg_230Wx334H,INDIAN TERRAIN, Rs 2399,https://www.shoppersstop.com/indian-terrain-checks-cotton-nylon-blend-tailored-fit-mens-casual-shirt/p-S21123SH02604RE/colorChange/S21123SH02604RE_RED
561,Solid Cotton Blend Mens Joggers - Olive,https://sslimages.shoppersstop.com/sys-master/images/h3b/h5a/16369332813854/S21183BIKRJOG0L_OLIVE.jpg_230Wx334H,ALTLIFE,Rs 979,https://www.shoppersstop.com/altlife-solid-cotton-blend-mens-joggers/p-S21183BIKRJOG0L/colorChange/S21183BIKRJOG0L_OLIVE
562,Printed Cotton Blend Mens Casual Kurta - Dark Blue,,BANDEYA, Rs 999,https://www.shoppersstop.com/bandeya-printed-cotton-blend-mens-casual-kurta/p-S21MEKUFAGMDKBL/colorChange/S21MEKUFAGMDKBL_DARK_BLUE
563,Solid INHANCE Cotton Mens Lounge Shorts - Black,,STOP,Rs 349,https://www.shoppersstop.com/stop-solid-inhance-cotton-mens-lounge-shorts/p-S21187SHORT104C/colorChange/S21187SHORT104C_BLACK
564,Printed Cotton Regular Fit Mens Formal Shirt - Peach,,STOP,Rs 899,https://www.shoppersstop.com/stop-printed-cotton-regular-fit-mens-formal-shirt/p-S21182FAGAP13PC/colorChange/S21182FAGAP13PC_PEACH
565,Printed Nylon Mens Trunks - Grey,,JOCKEY, Rs 649,https://www.shoppersstop.com/jockey-printed-nylon-mens-trunks/p-204914943/colorChange/204914943_GREY
566,Solid Cotton Lycra Zip Closure Mens Shorts - Mid Stone,,LIFE, Rs 1199,https://www.shoppersstop.com/life-solid-cotton-lycra-zip-closure-mens-shorts/p-A21INFSH03N/colorChange/A21INFSH03N_MID_STONE
567,Checks Cotton Slim Fit Mens Shirt - Mid Blue,,LIFE,Rs 899,https://www.shoppersstop.com/life-checks-cotton-slim-fit-mens-shirt/p-S21509D3CHFSNV/colorChange/S21509D3CHFSNV_MID_BLUE
568,Solid Dupion Silk Mens Occasion Wear Kurta Set - Multi,,HANGUP,Rs 999,https://www.shoppersstop.com/hangup-solid-dupion-silk-mens-occasion-wear-kurta-set/p-A21HG2KPDHOTINA/colorChange/A21HG2KPDHOTINA_MULTI
569,Solid Cotton Regular Fit Mens Sweatshirt - Black,,TOMMY HILFIGER, Rs 4999,https://www.shoppersstop.com/tommy-hilfiger-solid-cotton-regular-fit-mens-sweatshirt/p-A2130SSA1AMH114/colorChange/A2130SSA1AMH114_BLACK
570,Mens Striped Polo T-Shirt - Sky Blue,,STOP,Rs 849,https://www.shoppersstop.com/stop-mens-striped-polo-t-shirt/p-205307436/colorChange/205307436_SKY_BLUE
571,Polyester Viscose Slim Fit Mens Jacket - Pink,,ALLEN SOLLY,Rs 5099,https://www.shoppersstop.com/allen-solly-polyester-viscose-slim-fit-mens-jacket/p-A21BZMSLFQ52376/colorChange/A21BZMSLFQ52376_PINK
572,Mens HIGH IQ INHANCE Regular Fit Solid Shorts - Navy,,STOP,Rs 489,https://www.shoppersstop.com/stop-mens-high-iq-inhance-regular-fit-solid-shorts/p-A20187TIPINSHBN/colorChange/A20187TIPINSHBN_NAVY
573,Checks Polyester Viscose Terry Skinny Fit Mens Suit - Blue,,BLACKBERRYS, Rs 9995,https://www.shoppersstop.com/blackberrys-checks-polyester-viscose-terry-skinny-fit-mens-suit/p-S21BB75B1BS21F1/colorChange/S21BB75B1BS21F1_BLUE
574,Light Tone Wash Cotton Tapered Fit Mens Jeans - Blue,,JACK AND JONES, Rs 4999,https://www.shoppersstop.com/jack-and-jones-light-tone-wash-cotton-tapered-fit-mens-jeans/p-A21JJ233861801/colorChange/A21JJ233861801_BLUE
575,Solid Polyester Stretch Low Rise Mens Trunks - Black,https://sslimages.shoppersstop.com/sys-master/images/h6f/hf3/16914689622046/AWCKNB2540UB1_BLACK.jpg_230Wx334H,CALVIN KLEIN UNDERWEAR, Rs 1999,https://www.shoppersstop.com/calvin-klein-underwear-solid-polyester-stretch-low-rise-mens-trunks/p-AWCKNB2540UB1/colorChange/AWCKNB2540UB1_BLACK
576,Printed Cotton Blend Mens Occasion Wear Kurta Set - Purple,https://sslimages.shoppersstop.com/sys-master/images/hc7/h55/17336170381342/A21HGK136AQUALI_PURPLE.jpg_230Wx334H,HANGUP,Rs 1899,https://www.shoppersstop.com/hangup-printed-cotton-blend-mens-occasion-wear-kurta-set/p-A21HGK136AQUALI/colorChange/A21HGK136AQUALI_PURPLE
577,Solid Cotton Regular Fit Mens Track Pants - Black,https://sslimages.shoppersstop.com/sys-master/images/h91/h7b/16611921920030/S21LCKJ500BLA_BLACK.jpg_230Wx334H,LEE COOPER,Rs 1329,https://www.shoppersstop.com/lee-cooper-solid-cotton-regular-fit-mens-track-pants/p-S21LCKJ500BLA/colorChange/S21LCKJ500BLA_BLACK
578,Solid Cotton Regular Fit Mens Casual Shirt - Blue,https://sslimages.shoppersstop.com/sys-master/images/h83/h9a/17506905260062/A21JJ277728401_BLUE.jpg_230Wx334H,JACK AND JONES, Rs 3499,https://www.shoppersstop.com/jack-and-jones-solid-cotton-regular-fit-mens-casual-shirt/p-A21JJ277728401/colorChange/A21JJ277728401_BLUE
579,Structured Polyester Blend Super Slim Fit Mens Trousers - Grey,https://sslimages.shoppersstop.com/sys-master/images/h53/h51/17263443345438/A21PATY06490-G7_GREY.jpg_230Wx334H,PARK AVENUE, Rs 2099,https://www.shoppersstop.com/park-avenue-structured-polyester-blend-super-slim-fit-mens-trousers/p-A21PATY06490-G7/colorChange/A21PATY06490-G7_GREY
580,Structured Polyester Fiber Slim Fit Mens Workwear Blazer - Black,https://sslimages.shoppersstop.com/sys-master/images/h40/h25/17264086843422/A21PAJW02652-K8_BLACK.jpg_230Wx334H,PARK AVENUE, Rs 4999,https://www.shoppersstop.com/park-avenue-structured-polyester-fiber-slim-fit-mens-workwear-blazer/p-A21PAJW02652-K8/colorChange/A21PAJW02652-K8_BLACK
581,Printed Cotton Regular Fit Mens T-Shirt - Blue,https://sslimages.shoppersstop.com/sys-master/images/h1d/hc0/17267336577054/A21BURUMS0073BL_BLUE.jpg_230Wx334H,BURNT UMBER, Rs 1499,https://www.shoppersstop.com/burnt-umber-printed-cotton-regular-fit-mens-t-shirt/p-A21BURUMS0073BL/colorChange/A21BURUMS0073BL_BLUE
582,Printed Cotton Linen Blend Mandarin Neck Mens Occasion Wear Kurta - Green,https://sslimages.shoppersstop.com/sys-master/images/h17/h6b/17337296912414/A21HGGREENSHORT_GREEN.jpg_230Wx334H,HANGUP, Rs 999,https://www.shoppersstop.com/hangup-printed-cotton-linen-blend-mandarin-neck-mens-occasion-wear-kurta/p-A21HGGREENSHORT/colorChange/A21HGGREENSHORT_GREEN
583,Stripes Cotton Slim Fit Mens Casual Shirt - Pink,https://sslimages.shoppersstop.com/sys-master/images/hef/h05/17507241459742/A21JJ221783002_PINK.jpg_230Wx334H,JACK AND JONES, Rs 2799,https://www.shoppersstop.com/jack-and-jones-stripes-cotton-slim-fit-mens-casual-shirt/p-A21JJ221783002/colorChange/A21JJ221783002_PINK
